number,value,datetime_start,datetime_complete,duration,params_drop_connect_rate,state
0,0.6638421416282654,2021-03-13 21:55:39.464949,2021-03-13 22:22:54.734870,0 days 00:27:15.269921,0.689848071720752,COMPLETE
1,0.6674187779426575,2021-03-13 22:22:54.736252,2021-03-13 22:47:08.118957,0 days 00:24:13.382705,0.73129508997068,COMPLETE
2,0.7079511284828186,2021-03-13 22:47:08.120634,2021-03-13 23:11:17.220400,0 days 00:24:09.099766,0.73496641620241,COMPLETE
3,0.6583364605903625,2021-03-13 23:11:17.221833,2021-03-13 23:35:22.426254,0 days 00:24:05.204421,0.6025639504979131,COMPLETE
4,0.6644125580787659,2021-03-13 23:35:22.427699,2021-03-13 23:59:28.105810,0 days 00:24:05.678111,0.6442868501255448,COMPLETE
5,0.7516477108001709,2021-03-13 23:59:28.107276,2021-03-14 00:23:32.797354,0 days 00:24:04.690078,0.7108260416593981,COMPLETE
6,0.6966975927352905,2021-03-14 00:23:32.798860,2021-03-14 00:47:39.379775,0 days 00:24:06.580915,0.6514088921285216,COMPLETE
7,0.7064082026481628,2021-03-14 00:47:39.381224,2021-03-14 01:11:45.108827,0 days 00:24:05.727603,0.7725698306520687,COMPLETE
8,0.7112845182418823,2021-03-14 01:11:45.110295,2021-03-14 01:35:49.792014,0 days 00:24:04.681719,0.7120503834240667,COMPLETE
9,0.6829971075057983,2021-03-14 01:35:49.793598,2021-03-14 01:59:48.890142,0 days 00:23:59.096544,0.6200940759729432,COMPLETE
10,0.7069738507270813,2021-03-14 01:59:48.891551,2021-03-14 02:23:46.803526,0 days 00:23:57.911975,0.7928732551884038,COMPLETE
11,0.7145503759384155,2021-03-14 02:23:46.805075,2021-03-14 02:47:46.786489,0 days 00:23:59.981414,0.702155526668412,COMPLETE
12,0.7070257067680359,2021-03-14 02:47:46.787997,2021-03-14 03:11:51.110941,0 days 00:24:04.322944,0.683227684791808,COMPLETE
13,0.7259482145309448,2021-03-14 03:11:51.112594,2021-03-14 03:35:55.398120,0 days 00:24:04.285526,0.7584234120420289,COMPLETE
14,0.6589697003364563,2021-03-14 03:35:55.399433,2021-03-14 04:00:01.754012,0 days 00:24:06.354579,0.7678591115119755,COMPLETE
15,0.7144784331321716,2021-03-14 04:00:01.755415,2021-03-14 04:24:08.753482,0 days 00:24:06.998067,0.7527902472475224,COMPLETE
16,0.7060744762420654,2021-03-14 04:24:08.755068,2021-03-14 04:48:20.714042,0 days 00:24:11.958974,0.7948338442222349,COMPLETE
17,0.7111344337463379,2021-03-14 04:48:20.715941,2021-03-14 05:12:26.462112,0 days 00:24:05.746171,0.7274133836349815,COMPLETE
18,0.7240248322486877,2021-03-14 05:12:26.463695,2021-03-14 05:36:36.856452,0 days 00:24:10.392757,0.6695376495740188,COMPLETE
19,0.6789557337760925,2021-03-14 05:36:36.857928,2021-03-14 06:00:47.089573,0 days 00:24:10.231645,0.7546903774855418,COMPLETE
