StudyInstanceUID,0,1,2,3,4
1.2.826.0.1.3680043.8.498.10000428974990117276582711948006105617,0.9318651,-3.1198318,5.963736,-0.038748264,0.71116716
1.2.826.0.1.3680043.8.498.10001065121843652267743449160233082683,1.2416764,-2.8240283,0.0091320425,3.589517,-1.9066575
1.2.826.0.1.3680043.8.498.10001175380298620851477409998730672515,-1.4563888,1.2606274,-2.2589521,-1.1491896,1.218802
1.2.826.0.1.3680043.8.498.10001274045312501651093242392099983211,1.1587294,1.1081775,0.4514343,-0.25990412,1.0532659
1.2.826.0.1.3680043.8.498.10001645884963994872672157437761279872,4.357351,-0.13012707,-0.091208816,-1.9978806,-0.13492426
1.2.826.0.1.3680043.8.498.10002090428422465477470152567720822894,-1.5527799,2.3362598,0.3128755,-1.0092206,-2.302088
1.2.826.0.1.3680043.8.498.10002446304107330308555550280339793610,3.8451712,-3.1879768,1.1040972,1.8358123,-0.5816577
1.2.826.0.1.3680043.8.498.10002644592366004745415171692737199745,-1.4672847,0.27058604,0.14610645,-1.1814561,-1.7239804
1.2.826.0.1.3680043.8.498.10003638361010097105432298560780077394,0.04156016,-3.331045,-2.2877777,0.81573826,-1.7653629
1.2.826.0.1.3680043.8.498.10004680757941111877058507971361382698,-1.1438338,2.7532232,1.3137472,-0.93039876,-1.684864
1.2.826.0.1.3680043.8.498.10005525179325187531381719227940587547,0.60852224,3.9927547,2.557097,3.231996,-0.42735627
1.2.826.0.1.3680043.8.498.10005674150895565088475033916741013432,0.06205572,4.2907534,0.22250389,2.3737261,0.80731094
1.2.826.0.1.3680043.8.498.10006237848798781176388878065969229683,0.6295803,3.089499,1.3024276,-0.6048728,-1.2958823
1.2.826.0.1.3680043.8.498.10006345652257803920839267162509630051,5.017861,-2.2243736,-1.0555074,-1.6090763,-1.7967124
1.2.826.0.1.3680043.8.498.10006912914592266370941646234626874697,4.1650796,-1.1789598,-0.41493407,-1.8625249,-2.2081122
1.2.826.0.1.3680043.8.498.10007325230839039576266816449875945674,-3.5795772,-0.061851364,-0.68785244,-2.0088682,1.6098962
1.2.826.0.1.3680043.8.498.10008193698745944671737283077530844393,3.5945609,-2.7212584,2.7761683,0.4400683,0.043606967
1.2.826.0.1.3680043.8.498.10008918603569082587093755882910898138,1.5591575,3.1005526,-0.38045335,0.26478633,-0.20311213
1.2.826.0.1.3680043.8.498.10009200682227193533239127301911164377,-1.4353161,2.0721908,-0.05662623,-0.5280362,-0.7789432
1.2.826.0.1.3680043.8.498.10009230449649555463787687058581068839,-2.7806778,1.7982242,-1.5970298,-0.66452664,-1.9008498
1.2.826.0.1.3680043.8.498.10009460636373382407643984386773372138,1.0130943,2.9505827,1.9505413,1.074187,1.8828473
1.2.826.0.1.3680043.8.498.10009804582155067294620004418359998775,1.5192345,2.8212948,-0.4300131,-0.48066872,2.868189
1.2.826.0.1.3680043.8.498.10010621324226224265011850078370952894,1.4934926,-0.5717058,-1.9518325,0.5325247,-0.79946464
1.2.826.0.1.3680043.8.498.10010886604924023073322417250625757580,-3.5331974,0.8274479,-1.2051882,-1.2564676,1.0814533
1.2.826.0.1.3680043.8.498.10011225322111935956709340361664308988,-1.8531253,-4.332976,-1.9583775,1.0600584,-0.39862406
1.2.826.0.1.3680043.8.498.10011303716164813363951330003247248699,-4.2640696,-2.2890043,-0.8005879,1.8244053,-0.7628515
1.2.826.0.1.3680043.8.498.10011326142914171276323218618410985958,2.1361952,2.3616247,0.9992093,-3.167536,-2.094626
1.2.826.0.1.3680043.8.498.10011467445158645691510394489893787804,2.060104,1.7750896,0.15210226,-0.40909687,-3.0736535
1.2.826.0.1.3680043.8.498.10011645222415989937696288265656661857,-2.3426445,-2.3169816,1.2477471,-2.8544786,1.5230142
1.2.826.0.1.3680043.8.498.10012076044416201719708790381665812951,1.0849239,-3.8941448,0.6196128,0.7281655,0.060858075
1.2.826.0.1.3680043.8.498.10012289245645788930532993508716817528,1.2976882,1.192785,2.9893522,-2.5263388,-0.29022652
1.2.826.0.1.3680043.8.498.10012868114746340015145674058758665450,4.334874,-3.0028887,-0.38140774,0.18618678,-1.3018305
1.2.826.0.1.3680043.8.498.10013648386639413183439376787966642105,1.5082037,-2.5628924,-0.33249533,2.9918785,1.5567338
1.2.826.0.1.3680043.8.498.10014189861344447674817105872580579999,-1.59446,-0.5688246,-2.3678706,2.0977902,0.4347088
1.2.826.0.1.3680043.8.498.10014886751862306797439609126870364404,-3.5562704,-2.3348622,-2.3542407,2.0975268,-0.85290956
1.2.826.0.1.3680043.8.498.10015156920643748692915108869712195069,-2.6026845,2.214246,-0.86747825,-1.5031273,0.2684465
1.2.826.0.1.3680043.8.498.10015177673393521519012907205263157398,-0.40942773,-4.0393567,1.2858835,-0.80405116,1.8044974
1.2.826.0.1.3680043.8.498.10015404029859662112652117198439554552,-2.6793811,-0.8144681,-2.8967292,1.1438452,-0.052572004
1.2.826.0.1.3680043.8.498.10016038448650125162506685814898382210,3.1883163,-0.06836113,-2.4212737,0.25157887,-2.112343
1.2.826.0.1.3680043.8.498.10016319968940009576922094518468033666,0.048208214,0.13944875,2.9657943,-3.2188103,-3.9938083
1.2.826.0.1.3680043.8.498.10016434613037135591916003740058542287,-2.1112394,0.49289605,-2.9843595,-0.0041565,0.49308679
1.2.826.0.1.3680043.8.498.10017127632518130787233241824845923514,0.34296596,-0.00063912757,1.8920007,-2.7626235,-2.499793
1.2.826.0.1.3680043.8.498.10017151185038598671064029373595425922,1.6739525,0.20254144,-0.19542079,2.7646532,0.23675948
1.2.826.0.1.3680043.8.498.10017409313993952898185708955825445196,-2.4451246,0.02904182,-1.5908359,-1.088375,0.24347572
